Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2022-06-01 02:35:10,2022-06-01 22:45:30,UTC+02:00,2022-06-01 02:35:10,2022-06-01 08:04:22,50,13.9,299,328,182,48,69,29,594,60,92,45,false
2022-05-30 22:29:17,2022-06-01 02:35:10,UTC+02:00,2022-05-30 22:29:17,2022-05-31 06:15:33,80,13.7,421,449,183,91,147,28,525,45,96,80,false
2022-05-29 21:41:00,2022-05-30 22:29:17,UTC+02:00,2022-05-29 21:41:00,2022-05-30 06:05:04,85,13.4,445,504,205,116,124,59,521,45,88,64,false
2022-05-28 23:46:03,2022-05-29 21:41:00,UTC+02:00,2022-05-28 23:46:03,2022-05-29 08:05:37,85,13.7,453,494,222,77,154,41,530,58,92,63,false
2022-05-27 22:41:14,2022-05-28 23:46:03,UTC+02:00,2022-05-27 22:41:14,2022-05-28 06:00:24,75,13.9,413,438,162,84,167,25,547,60,94,90,false
2022-05-26 21:56:51,2022-05-27 22:41:14,UTC+02:00,2022-05-26 21:56:51,2022-05-27 05:58:32,80,14.0,434,477,242,70,122,43,545,60,91,95,false
2022-05-25 22:05:01,2022-05-26 21:56:51,UTC+02:00,2022-05-25 22:05:01,2022-05-26 06:16:48,74,13.5,435,491,189,108,138,56,585,60,90,94,false
2022-05-24 22:36:19,2022-05-25 22:05:01,UTC+02:00,2022-05-24 22:36:19,2022-05-25 06:16:20,74,13.4,422,460,174,90,158,38,567,60,93,90,false
2022-05-23 22:03:58,2022-05-24 22:36:19,UTC+02:00,2022-05-23 22:03:58,2022-05-24 06:05:24,80,13.7,432,481,246,71,115,49,539,51,92,92,false
2022-05-22 21:53:09,2022-05-23 22:03:58,UTC+02:00,2022-05-22 21:53:09,2022-05-23 06:08:05,83,13.5,467,491,261,92,114,24,562,57,95,89,false
2022-05-21 22:01:06,2022-05-22 21:53:09,UTC+02:00,2022-05-21 22:01:06,2022-05-22 06:35:59,81,13.7,481,514,230,91,160,33,594,60,93,88,false
2022-05-20 22:27:07,2022-05-21 22:01:06,UTC+02:00,2022-05-20 22:27:07,2022-05-21 06:31:21,80,13.6,433,483,243,76,114,50,543,72,91,86,false
2022-05-19 22:59:06,2022-05-20 22:27:07,UTC+02:00,2022-05-19 22:59:06,2022-05-20 06:13:58,69,13.8,392,434,178,70,144,42,568,70,93,81,false
2022-05-18 22:07:56,2022-05-19 22:59:06,UTC+02:00,2022-05-18 22:07:56,2022-05-19 05:07:42,70,13.6,388,419,167,78,143,31,554,66,94,90,false
2022-05-17 21:36:19,2022-05-18 22:07:56,UTC+02:00,2022-05-17 21:36:19,2022-05-18 06:14:39,78,13.5,473,518,187,101,185,45,607,77,92,88,false
2022-05-16 21:49:36,2022-05-17 21:36:19,UTC+02:00,2022-05-16 21:49:36,2022-05-17 06:19:41,67,13.6,464,509,235,78,151,45,688,189,91,86,false
2022-05-15 23:37:51,2022-05-16 21:49:36,UTC+02:00,2022-05-15 23:37:51,2022-05-16 06:05:23,19,13.7,101,387,29,3,69,286,528,42,27,69,false
2022-05-14 21:47:16,2022-05-15 23:37:51,UTC+02:00,2022-05-14 21:47:16,2022-05-15 06:28:38,86,13.5,476,521,256,97,123,45,555,30,94,84,false
2022-05-13 21:51:28,2022-05-14 21:47:16,UTC+02:00,2022-05-13 21:51:28,2022-05-14 05:43:47,90,13.3,429,472,194,99,136,43,478,0,91,82,false
2022-05-12 20:31:37,2022-05-13 21:51:28,UTC+02:00,2022-05-12 20:31:37,2022-05-13 06:15:06,100,13.8,511,583,260,95,156,72,503,21,87,81,false
2022-05-11 20:20:05,2022-05-12 20:31:37,UTC+02:00,2022-05-11 20:20:05,2022-05-12 05:45:46,93,15.4,508,565,341,76,91,57,547,63,89,66,false
2022-05-10 21:32:30,2022-05-11 20:20:05,UTC+02:00,2022-05-10 21:32:30,2022-05-11 05:54:02,79,13.7,470,501,217,92,161,31,593,90,95,67,false
2022-05-09 22:28:52,2022-05-10 21:32:30,UTC+02:00,2022-05-09 22:28:52,2022-05-10 06:03:37,70,13.6,432,455,193,105,134,23,616,77,95,67,false
2022-05-08 22:58:52,2022-05-09 22:28:52,UTC+02:00,2022-05-08 22:58:52,2022-05-09 06:02:56,67,13.2,398,424,140,85,173,26,590,116,94,55,false
2022-05-08 03:23:33,2022-05-08 22:58:52,UTC+02:00,2022-05-08 03:23:33,2022-05-08 08:18:11,50,12.9,281,294,154,50,77,13,563,67,95,34,false
2022-05-06 23:01:26,2022-05-08 03:23:33,UTC+02:00,2022-05-06 23:01:26,2022-05-07 06:28:54,71,13.4,409,447,181,87,141,38,577,60,91,81,false
2022-05-05 21:29:58,2022-05-06 23:01:26,UTC+02:00,2022-05-05 21:29:58,2022-05-06 05:54:36,80,13.4,466,504,190,112,164,38,581,81,93,87,false
2022-05-04 22:19:57,2022-05-05 21:29:58,UTC+02:00,2022-05-04 22:19:57,2022-05-05 05:54:27,73,13.4,428,454,167,96,165,26,588,67,94,92,false
2022-05-03 22:13:30,2022-05-04 22:19:57,UTC+02:00,2022-05-03 22:13:30,2022-05-04 05:53:43,71,13.3,413,460,185,100,128,47,584,74,92,87,false
2022-05-02 22:56:03,2022-05-03 22:13:30,UTC+02:00,2022-05-02 22:56:03,2022-05-03 05:53:50,68,13.3,388,417,161,109,118,29,573,51,92,84,false
2022-05-01 21:55:35,2022-05-02 22:56:03,UTC+02:00,2022-05-01 21:55:35,2022-05-02 06:16:47,83,13.1,479,501,213,66,200,22,579,51,96,84,false
2022-04-30 22:10:30,2022-05-01 21:55:35,UTC+02:00,2022-04-30 22:10:30,2022-05-01 06:29:46,83,13.3,473,499,181,100,192,26,572,98,94,82,false
2022-04-30 00:19:54,2022-04-30 22:10:30,UTC+02:00,2022-04-30 00:19:54,2022-04-30 06:28:46,58,13.0,359,369,181,72,106,10,620,88,98,69,false
2022-04-28 22:12:01,2022-04-30 00:19:54,UTC+02:00,2022-04-28 22:12:01,2022-04-29 04:59:56,62,13.4,358,408,178,83,97,50,574,72,89,94,false
2022-04-27 22:23:30,2022-04-28 22:12:01,UTC+02:00,2022-04-27 22:23:30,2022-04-28 06:06:31,76,13.4,423,463,215,81,127,40,558,72,91,95,false
2022-04-26 22:30:41,2022-04-27 22:23:30,UTC+02:00,2022-04-26 22:30:41,2022-04-27 06:15:36,69,13.4,412,462,204,78,130,50,594,72,92,95,false
2022-04-25 22:34:06,2022-04-26 22:30:41,UTC+02:00,2022-04-25 22:34:06,2022-04-26 06:18:58,69,13.3,409,465,218,78,113,56,597,69,87,92,false
2022-04-24 22:13:40,2022-04-25 22:34:06,UTC+02:00,2022-04-24 22:13:40,2022-04-25 06:16:02,77,13.4,427,481,200,86,141,54,555,70,89,88,false
2022-04-23 23:09:25,2022-04-24 22:13:40,UTC+02:00,2022-04-23 23:09:25,2022-04-24 06:39:27,70,13.3,426,450,189,94,143,24,605,75,94,93,false
2022-04-22 22:29:52,2022-04-23 23:09:25,UTC+02:00,2022-04-22 22:29:52,2022-04-23 06:22:32,75,13.4,418,472,188,72,158,54,559,86,89,90,false
2022-04-21 23:06:03,2022-04-22 22:29:52,UTC+02:00,2022-04-21 23:06:03,2022-04-22 06:33:31,63,13.7,395,447,174,79,142,52,623,84,90,90,false
2022-04-20 23:08:25,2022-04-21 23:06:03,UTC+02:00,2022-04-20 23:08:25,2022-04-21 06:34:23,72,13.4,408,446,198,74,136,38,570,79,92,83,false
2022-04-19 22:47:45,2022-04-20 23:08:25,UTC+02:00,2022-04-19 22:47:45,2022-04-20 05:59:14,66,13.6,392,431,167,107,118,39,590,78,93,85,false
2022-04-18 21:59:43,2022-04-19 22:47:45,UTC+02:00,2022-04-18 21:59:43,2022-04-19 05:56:21,74,13.6,438,475,206,101,131,37,594,72,94,84,false
2022-04-17 22:09:46,2022-04-18 21:59:43,UTC+02:00,2022-04-17 22:09:46,2022-04-18 06:08:07,76,13.1,442,478,137,155,150,36,584,95,92,81,false
2022-04-17 00:42:05,2022-04-17 22:09:46,UTC+02:00,2022-04-17 00:42:05,2022-04-17 06:30:42,59,13.4,313,346,123,75,115,33,535,60,92,72,false
2022-04-15 22:31:31,2022-04-17 00:42:05,UTC+02:00,2022-04-15 22:31:31,2022-04-16 06:15:19,74,13.2,429,463,226,99,104,34,577,67,94,94,false
2022-04-14 22:48:58,2022-04-15 22:31:31,UTC+02:00,2022-04-14 22:48:58,2022-04-15 06:05:36,71,13.5,399,436,185,110,104,37,561,63,91,91,false
2022-04-13 22:31:19,2022-04-14 22:48:58,UTC+02:00,2022-04-13 22:31:19,2022-04-14 06:04:19,79,13.1,428,453,210,63,155,25,544,48,94,92,false
2022-04-12 21:57:50,2022-04-13 22:31:19,UTC+02:00,2022-04-12 21:57:50,2022-04-13 06:23:14,84,13.6,478,503,185,123,170,25,572,72,95,87,false
2022-04-11 22:31:16,2022-04-12 21:57:50,UTC+02:00,2022-04-11 22:31:16,2022-04-12 05:54:12,69,13.4,392,443,164,91,137,51,572,65,90,90,false
2022-04-10 22:26:16,2022-04-11 22:31:16,UTC+02:00,2022-04-10 22:26:16,2022-04-11 05:53:53,72,13.2,421,447,169,109,143,26,589,65,94,91,false
2022-04-09 22:54:33,2022-04-10 22:26:16,UTC+02:00,2022-04-09 22:54:33,2022-04-10 06:28:40,72,13.2,421,454,154,101,166,33,584,63,92,91,false
2022-04-08 22:53:42,2022-04-09 22:54:33,UTC+02:00,2022-04-08 22:53:42,2022-04-09 06:28:51,73,13.4,412,455,156,79,177,43,561,48,90,86,false
2022-04-07 21:53:09,2022-04-08 22:53:42,UTC+02:00,2022-04-07 21:53:09,2022-04-08 06:06:13,84,13.3,456,492,207,115,134,36,542,67,93,91,false
2022-04-06 22:07:26,2022-04-07 21:53:09,UTC+02:00,2022-04-06 22:07:26,2022-04-07 06:15:57,71,13.5,432,488,198,92,142,56,608,78,90,89,false
2022-04-05 22:22:37,2022-04-06 22:07:26,UTC+02:00,2022-04-05 22:22:37,2022-04-06 05:54:51,74,13.3,420,452,166,90,164,32,564,72,95,88,false
2022-04-04 22:24:39,2022-04-05 22:22:37,UTC+02:00,2022-04-04 22:24:39,2022-04-05 06:08:57,76,13.1,439,460,163,114,162,21,581,57,95,83,false
2022-04-03 21:56:21,2022-04-04 22:24:39,UTC+02:00,2022-04-03 21:56:21,2022-04-04 06:04:05,81,13.2,438,488,207,95,136,50,540,60,91,70,false
2022-04-02 23:33:53,2022-04-03 21:56:21,UTC+02:00,2022-04-02 23:33:53,2022-04-03 07:47:29,80,13.2,458,493,195,82,181,35,569,70,93,69,false
2022-04-01 22:18:10,2022-04-02 23:33:53,UTC+02:00,2022-04-01 22:18:10,2022-04-02 06:16:35,70,13.3,411,474,182,91,138,63,589,74,87,92,false
2022-03-31 22:36:47,2022-04-01 22:18:10,UTC+02:00,2022-03-31 22:36:47,2022-04-01 05:53:36,68,13.6,402,436,162,97,143,34,594,70,93,90,false
2022-03-30 22:33:15,2022-03-31 22:36:47,UTC+02:00,2022-03-30 22:33:15,2022-03-31 06:15:36,70,13.2,429,461,241,94,94,32,609,81,93,80,false
2022-03-29 23:03:14,2022-03-30 22:33:15,UTC+02:00,2022-03-29 23:03:14,2022-03-30 05:53:52,65,13.5,373,410,203,72,98,37,573,63,91,71,false
2022-03-28 22:11:13,2022-03-29 23:03:14,UTC+02:00,2022-03-28 22:11:13,2022-03-29 06:00:22,73,13.5,438,469,213,98,127,31,602,74,93,56,false
2022-03-27 22:51:16,2022-03-28 22:11:13,UTC+02:00,2022-03-27 22:51:16,2022-03-28 05:59:29,68,13.2,392,428,194,71,127,36,581,60,92,68,false
2022-03-27 00:01:43,2022-03-27 21:51:16,UTC+01:00,2022-03-27 00:01:43,2022-03-27 07:45:50,80,13.4,426,464,189,94,143,38,530,60,94,76,false
2022-03-25 23:47:05,2022-03-27 00:01:43,UTC+01:00,2022-03-25 23:47:05,2022-03-26 07:59:53,80,13.3,448,492,196,109,143,44,562,77,91,66,false
2022-03-24 23:06:41,2022-03-25 23:47:05,UTC+01:00,2022-03-24 23:06:41,2022-03-25 06:05:03,67,13.2,370,418,174,64,132,48,554,58,89,89,false
2022-03-23 22:17:19,2022-03-24 23:06:41,UTC+01:00,2022-03-23 22:17:19,2022-03-24 06:06:58,75,13.1,457,467,256,101,100,10,607,84,98,89,false
2022-03-22 22:55:11,2022-03-23 22:17:19,UTC+01:00,2022-03-22 22:55:11,2022-03-23 05:44:34,64,13.1,381,407,164,55,162,26,592,58,96,86,false
2022-03-21 22:22:51,2022-03-22 22:55:11,UTC+01:00,2022-03-21 22:22:51,2022-03-22 05:54:30,75,13.5,418,451,173,93,152,33,561,57,93,87,false
2022-03-20 21:28:16,2022-03-21 22:22:51,UTC+01:00,2022-03-20 21:28:16,2022-03-21 06:04:27,81,13.5,478,516,182,74,222,38,592,77,93,82,false
2022-03-19 23:18:26,2022-03-20 21:28:16,UTC+01:00,2022-03-19 23:18:26,2022-03-20 06:32:15,67,13.5,395,433,162,127,106,38,590,49,91,85,false
2022-03-18 22:37:28,2022-03-19 23:18:26,UTC+01:00,2022-03-18 22:37:28,2022-03-19 06:29:47,79,13.2,431,472,166,109,156,41,545,49,91,87,false
2022-03-17 21:56:15,2022-03-18 22:37:28,UTC+01:00,2022-03-17 21:56:15,2022-03-18 05:59:15,79,13.2,421,483,187,99,135,62,533,53,87,86,false
2022-03-16 22:15:42,2022-03-17 21:56:15,UTC+01:00,2022-03-16 22:15:42,2022-03-17 05:59:52,77,13.4,424,458,215,89,120,34,552,72,92,82,false
2022-03-15 23:16:46,2022-03-16 22:15:42,UTC+01:00,2022-03-15 23:16:46,2022-03-16 06:32:35,69,14.1,376,435,241,39,96,59,548,9,86,71,false
2022-03-14 21:17:44,2022-03-15 23:16:46,UTC+01:00,2022-03-14 21:17:44,2022-03-15 05:56:00,97,13.4,482,516,174,106,202,34,497,12,93,84,false
2022-03-13 20:36:35,2022-03-14 21:17:44,UTC+01:00,2022-03-13 20:36:35,2022-03-14 05:59:39,96,13.7,499,558,190,105,204,59,518,48,91,74,false
2022-03-12 22:11:11,2022-03-13 20:36:35,UTC+01:00,2022-03-12 22:11:11,2022-03-13 06:59:08,84,13.3,488,527,179,113,196,39,583,42,94,86,false
2022-03-11 21:43:15,2022-03-12 22:11:11,UTC+01:00,2022-03-11 21:43:15,2022-03-12 06:31:06,86,14.4,466,523,224,71,171,57,541,65,89,89,false
2022-03-10 22:28:51,2022-03-11 21:43:15,UTC+01:00,2022-03-10 22:28:51,2022-03-11 06:02:29,72,12.9,418,450,166,94,158,32,577,60,94,92,false
2022-03-09 21:55:28,2022-03-10 22:28:51,UTC+01:00,2022-03-09 21:55:28,2022-03-10 06:05:15,80,13.2,470,489,216,88,166,19,586,60,97,93,false
2022-03-08 21:55:02,2022-03-09 21:55:28,UTC+01:00,2022-03-08 21:55:02,2022-03-09 05:53:21,80,12.8,442,469,220,91,131,27,554,75,94,88,false
2022-03-07 21:46:17,2022-03-08 21:55:02,UTC+01:00,2022-03-07 21:46:17,2022-03-08 06:05:48,75,13.0,451,499,201,112,138,48,604,75,90,82,false
2022-03-06 22:26:31,2022-03-07 21:46:17,UTC+01:00,2022-03-06 22:26:31,2022-03-07 06:06:26,75,12.9,420,459,179,108,133,39,563,88,91,84,false
2022-03-06 00:04:51,2022-03-06 22:26:31,UTC+01:00,2022-03-06 00:04:51,2022-03-06 06:30:18,62,13.1,342,385,173,62,107,43,555,63,91,77,false
2022-03-04 23:02:04,2022-03-06 00:04:51,UTC+01:00,2022-03-04 23:02:04,2022-03-05 06:25:06,73,13.4,408,443,227,87,94,35,561,58,92,84,false
2022-03-03 22:07:52,2022-03-04 23:02:04,UTC+01:00,2022-03-03 22:07:52,2022-03-04 05:53:06,75,13.4,446,465,233,101,112,19,593,60,95,93,false
2022-03-02 22:08:59,2022-03-03 22:07:52,UTC+01:00,2022-03-02 22:08:59,2022-03-03 05:50:25,74,13.1,422,461,222,72,128,39,570,63,93,87,false
2022-03-01 22:38:24,2022-03-02 22:08:59,UTC+01:00,2022-03-01 22:38:24,2022-03-02 05:55:24,73,12.9,404,436,184,83,137,32,556,70,92,85,false
2022-02-28 22:21:58,2022-03-01 22:38:24,UTC+01:00,2022-02-28 22:21:58,2022-03-01 05:46:51,70,13.1,409,442,167,102,140,33,581,44,92,79,false
2022-02-27 22:40:54,2022-02-28 22:21:58,UTC+01:00,2022-02-27 22:40:54,2022-02-28 06:00:19,81,13.2,420,439,243,81,96,19,522,21,96,85,false
2022-02-26 22:42:23,2022-02-27 22:40:54,UTC+01:00,2022-02-26 22:42:23,2022-02-27 07:35:56,93,13.1,483,534,216,90,177,51,518,30,90,81,false
2022-02-25 23:03:02,2022-02-26 22:42:23,UTC+01:00,2022-02-25 23:03:02,2022-02-26 08:01:09,90,13.3,493,536,149,132,212,43,551,79,91,76,false
2022-02-24 23:12:13,2022-02-25 23:03:02,UTC+01:00,2022-02-24 23:12:13,2022-02-25 06:29:10,66,13.7,408,436,201,101,106,28,615,79,94,86,false
2022-02-23 23:01:48,2022-02-24 23:12:13,UTC+01:00,2022-02-23 23:01:48,2022-02-24 05:55:31,66,13.4,383,413,192,79,112,30,577,63,96,87,false
2022-02-22 22:29:32,2022-02-23 23:01:48,UTC+01:00,2022-02-22 22:29:32,2022-02-23 05:55:23,73,13.5,422,444,200,79,143,22,582,56,95,89,false
2022-02-21 22:30:21,2022-02-22 22:29:32,UTC+01:00,2022-02-21 22:30:21,2022-02-22 05:55:22,76,13.5,420,445,190,74,156,25,555,32,96,84,false
2022-02-20 22:22:50,2022-02-21 22:30:21,UTC+01:00,2022-02-20 22:22:50,2022-02-21 05:59:40,86,13.4,423,454,225,89,109,31,489,15,93,77,false
2022-02-19 21:58:59,2022-02-20 22:22:50,UTC+01:00,2022-02-19 21:58:59,2022-02-20 07:30:56,95,13.6,531,571,232,142,157,40,561,32,93,77,false
2022-02-18 21:33:59,2022-02-19 21:58:59,UTC+01:00,2022-02-18 21:33:59,2022-02-19 06:32:28,86,13.7,490,538,257,113,120,48,572,39,93,84,false
2022-02-17 21:39:50,2022-02-18 21:33:59,UTC+01:00,2022-02-17 21:39:50,2022-02-18 05:54:50,83,13.7,442,494,196,100,146,52,534,18,91,80,false
2022-02-16 20:31:44,2022-02-17 21:39:50,UTC+01:00,2022-02-16 20:31:44,2022-02-17 06:04:56,94,13.7,527,573,236,85,206,46,559,65,91,76,false
2022-02-15 23:30:14,2022-02-16 20:31:44,UTC+01:00,2022-02-15 23:30:14,2022-02-16 06:35:40,72,13.6,373,424,161,85,127,51,515,0,91,67,false
2022-02-14 20:08:27,2022-02-15 23:30:14,UTC+01:00,2022-02-14 20:08:27,2022-02-15 06:00:07,100,13.5,533,591,287,77,169,58,518,44,91,76,false
2022-02-13 21:37:00,2022-02-14 20:08:27,UTC+01:00,2022-02-13 21:37:00,2022-02-14 05:47:00,81,13.7,444,487,237,86,121,43,546,27,91,86,false
2022-02-12 21:04:52,2022-02-13 21:37:00,UTC+01:00,2022-02-12 21:04:52,2022-02-13 06:32:17,91,13.4,520,567,233,97,190,47,569,44,91,82,false
2022-02-11 22:30:00,2022-02-12 21:04:52,UTC+01:00,2022-02-11 22:30:00,2022-02-12 06:32:33,81,13.8,417,481,201,83,133,64,516,33,87,78,false
2022-02-10 22:08:17,2022-02-11 22:30:00,UTC+01:00,2022-02-10 22:08:17,2022-02-11 05:50:05,89,14.9,434,459,212,87,135,25,487,0,94,77,false
2022-02-09 20:34:56,2022-02-10 22:08:17,UTC+01:00,2022-02-09 20:34:56,2022-02-10 05:49:26,100,16.0,514,549,285,71,158,35,482,12,93,80,false
2022-02-08 21:11:25,2022-02-09 20:34:56,UTC+01:00,2022-02-08 21:11:25,2022-02-09 06:00:09,96,16.7,473,528,324,51,98,55,492,0,89,76,false
2022-02-07 20:28:59,2022-02-08 21:11:25,UTC+01:00,2022-02-07 20:28:59,2022-02-08 07:06:12,100,18.2,559,637,441,73,45,78,522,49,87,63,false
2022-02-06 21:37:11,2022-02-07 20:28:59,UTC+01:00,2022-02-06 21:37:11,2022-02-07 06:00:22,79,13.4,462,502,208,84,170,40,588,51,92,66,false
2022-02-05 23:32:53,2022-02-06 21:37:11,UTC+01:00,2022-02-05 23:32:53,2022-02-06 07:08:27,78,13.1,424,455,203,113,108,31,545,72,94,64,false
2022-02-05 00:37:46,2022-02-05 23:32:53,UTC+01:00,2022-02-05 00:37:46,2022-02-05 08:19:40,69,13.5,406,462,129,98,179,56,587,63,90,49,false
2022-02-03 22:37:52,2022-02-05 00:37:46,UTC+01:00,2022-02-03 22:37:52,2022-02-04 06:04:51,73,13.7,394,445,170,100,124,51,543,42,90,84,false
2022-02-02 21:18:11,2022-02-03 22:37:52,UTC+01:00,2022-02-02 21:18:11,2022-02-03 05:49:58,82,13.2,460,506,174,120,166,46,558,36,93,88,false
2022-02-01 21:27:11,2022-02-02 21:18:11,UTC+01:00,2022-02-01 21:27:11,2022-02-02 05:55:19,88,15.5,474,507,278,72,124,33,541,39,93,85,false
2022-01-31 21:47:06,2022-02-01 21:27:11,UTC+01:00,2022-01-31 21:47:06,2022-02-01 06:09:39,87,13.8,455,502,235,85,135,47,525,42,91,82,false
2022-01-30 22:36:35,2022-01-31 21:47:06,UTC+01:00,2022-01-30 22:36:35,2022-01-31 06:00:14,82,13.1,402,433,206,86,110,31,493,0,93,74,false
2022-01-29 18:55:06,2022-01-30 22:36:35,UTC+01:00,2022-01-29 18:55:06,2022-01-30 06:31:11,100,13.8,615,696,310,133,172,81,599,57,88,63,false
2022-01-28 22:04:03,2022-01-29 18:55:06,UTC+01:00,2022-01-28 22:04:03,2022-01-29 06:14:17,81,13.4,435,490,187,102,146,55,536,54,91,93,false
2022-01-27 21:40:33,2022-01-28 22:04:03,UTC+01:00,2022-01-27 21:40:33,2022-01-28 06:09:50,82,13.5,459,509,196,110,153,50,561,53,91,91,false
2022-01-26 22:09:48,2022-01-27 21:40:33,UTC+01:00,2022-01-26 22:09:48,2022-01-27 06:00:10,77,13.4,437,470,162,90,185,33,569,54,93,90,false
2022-01-25 21:56:06,2022-01-26 22:09:48,UTC+01:00,2022-01-25 21:56:06,2022-01-26 06:00:44,82,13.4,452,484,219,83,150,32,551,27,94,88,false
2022-01-24 20:28:20,2022-01-25 21:56:06,UTC+01:00,2022-01-24 20:28:20,2022-01-25 06:05:29,91,13.5,514,576,236,118,160,62,565,60,90,77,false
2022-01-23 22:05:44,2022-01-24 20:28:20,UTC+01:00,2022-01-23 22:05:44,2022-01-24 05:55:27,74,13.7,441,469,181,106,154,28,599,72,96,91,false
2022-01-22 22:38:29,2022-01-23 22:05:44,UTC+01:00,2022-01-22 22:38:29,2022-01-23 06:16:39,69,13.4,410,457,201,73,136,47,596,54,90,89,false
2022-01-21 22:19:32,2022-01-22 22:38:29,UTC+01:00,2022-01-21 22:19:32,2022-01-22 06:18:02,82,13.3,428,478,155,88,185,50,520,48,91,85,false
2022-01-20 21:07:55,2022-01-21 22:19:32,UTC+01:00,2022-01-20 21:07:55,2022-01-21 06:10:12,84,13.4,485,542,201,98,186,57,576,70,91,77,false
2022-01-19 22:54:46,2022-01-20 21:07:55,UTC+01:00,2022-01-19 22:54:46,2022-01-20 05:55:42,70,13.1,398,415,210,71,117,17,567,79,96,85,false
2022-01-18 23:33:36,2022-01-19 22:54:46,UTC+01:00,2022-01-18 23:33:36,2022-01-19 06:00:41,66,13.4,362,385,148,71,143,23,553,45,94,75,false
2022-01-17 21:47:02,2022-01-18 23:33:36,UTC+01:00,2022-01-17 21:47:02,2022-01-18 06:01:24,85,13.5,462,492,249,71,142,30,546,48,94,84,false
2022-01-16 22:04:20,2022-01-17 21:47:02,UTC+01:00,2022-01-16 22:04:20,2022-01-17 06:00:46,84,12.9,443,475,258,69,116,32,529,51,94,81,false
2022-01-15 22:29:53,2022-01-16 22:04:20,UTC+01:00,2022-01-15 22:29:53,2022-01-16 07:33:20,83,14.0,496,542,200,100,196,46,599,57,91,82,false
2022-01-14 22:08:17,2022-01-15 22:29:53,UTC+01:00,2022-01-14 22:08:17,2022-01-15 06:51:35,81,13.5,462,516,246,80,136,54,568,72,90,84,false
2022-01-13 22:29:42,2022-01-14 22:08:17,UTC+01:00,2022-01-13 22:29:42,2022-01-14 06:01:54,69,13.5,407,450,179,85,143,43,590,81,90,92,false
2022-01-12 23:26:14,2022-01-13 22:29:42,UTC+01:00,2022-01-12 23:26:14,2022-01-13 06:04:45,65,13.6,368,398,195,74,99,30,563,53,94,83,false
2022-01-11 22:36:37,2022-01-12 23:26:14,UTC+01:00,2022-01-11 22:36:37,2022-01-12 06:02:12,77,13.7,410,443,117,102,191,33,533,51,93,90,false
2022-01-10 22:21:25,2022-01-11 22:36:37,UTC+01:00,2022-01-10 22:21:25,2022-01-11 06:15:41,78,13.4,448,474,200,96,152,26,572,54,94,89,false
2022-01-09 22:20:19,2022-01-10 22:21:25,UTC+01:00,2022-01-09 22:20:19,2022-01-10 06:07:50,82,13.7,437,467,277,60,100,30,531,21,93,87,false
2022-01-08 21:27:36,2022-01-09 22:20:19,UTC+01:00,2022-01-08 21:27:36,2022-01-09 06:43:27,93,13.8,478,556,236,91,151,78,512,42,87,80,false
2022-01-07 22:42:12,2022-01-08 21:27:36,UTC+01:00,2022-01-07 22:42:12,2022-01-08 07:03:28,86,13.7,474,501,221,98,155,27,549,45,95,81,false
2022-01-06 22:03:30,2022-01-07 22:42:12,UTC+01:00,2022-01-06 22:03:30,2022-01-07 05:56:24,85,13.5,451,471,275,71,105,20,533,56,95,94,false
2022-01-05 22:10:44,2022-01-06 22:03:30,UTC+01:00,2022-01-05 22:10:44,2022-01-06 05:59:38,76,13.5,419,469,214,74,131,50,550,56,90,87,false
2022-01-04 22:16:47,2022-01-05 22:10:44,UTC+01:00,2022-01-04 22:16:47,2022-01-05 06:03:38,76,13.5,426,462,287,50,89,36,560,49,93,72,false
2022-01-03 22:27:44,2022-01-04 22:16:47,UTC+01:00,2022-01-03 22:27:44,2022-01-04 06:01:32,79,13.2,415,446,164,103,148,31,525,48,93,57,false
2022-01-02 21:47:14,2022-01-03 22:27:44,UTC+01:00,2022-01-02 21:47:14,2022-01-03 06:00:38,84,13.4,454,492,304,59,91,38,543,70,92,55,false
2022-01-02 00:08:31,2022-01-02 21:47:14,UTC+01:00,2022-01-02 00:08:31,2022-01-02 07:43:27,70,13.7,408,454,227,73,108,46,582,112,90,55,false
2022-01-01 04:04:42,2022-01-02 00:08:31,UTC+01:00,2022-01-01 04:04:42,2022-01-01 09:17:12,52,13.7,284,302,130,55,99,18,547,42,94,34,false
2021-12-30 23:29:15,2022-01-01 04:04:42,UTC+01:00,2021-12-30 23:29:15,2021-12-31 07:01:00,82,13.6,411,447,170,86,155,36,501,30,91,84,false
2021-12-29 22:33:00,2021-12-30 23:29:15,UTC+01:00,2021-12-29 22:33:00,2021-12-30 07:17:08,90,13.7,482,521,188,113,181,39,534,39,92,90,false
2021-12-28 22:12:05,2021-12-29 22:33:00,UTC+01:00,2021-12-28 22:12:05,2021-12-29 06:43:57,87,13.6,452,508,201,99,152,56,518,45,88,86,false
2021-12-27 23:03:13,2021-12-28 22:12:05,UTC+01:00,2021-12-27 23:03:13,2021-12-28 07:04:12,85,13.0,447,480,238,79,130,33,526,30,93,90,false
2021-12-26 22:39:19,2021-12-27 23:03:13,UTC+01:00,2021-12-26 22:39:19,2021-12-27 06:59:52,90,13.4,450,501,178,95,177,51,503,30,90,87,false
