Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2022-09-26 22:28:33,2022-09-28 01:31:16,UTC+02:00,2022-09-26 22:28:33,2022-09-27 06:06:37,75,13.4,409,443,181,94,134,34,545,65,93,89,false
2022-09-25 23:02:09,2022-09-26 22:28:33,UTC+02:00,2022-09-25 23:02:09,2022-09-26 06:47:26,78,13.2,442,465,294,46,102,23,568,59,95,84,false
2022-09-24 22:25:32,2022-09-25 23:02:09,UTC+02:00,2022-09-24 22:25:32,2022-09-25 07:10:26,80,13.4,475,523,252,106,117,48,595,67,91,84,false
2022-09-23 23:39:02,2022-09-24 22:25:32,UTC+02:00,2022-09-23 23:39:02,2022-09-24 06:31:11,71,13.5,382,410,152,86,144,28,536,44,93,80,false
2022-09-22 22:17:43,2022-09-23 23:39:02,UTC+02:00,2022-09-22 22:17:43,2022-09-23 06:32:47,85,13.3,467,495,247,80,140,28,551,44,94,88,false
2022-09-21 21:57:29,2022-09-22 22:17:43,UTC+02:00,2022-09-21 21:57:29,2022-09-22 06:06:19,85,13.4,474,488,207,88,179,14,554,47,96,83,false
2022-09-20 22:08:56,2022-09-21 21:57:29,UTC+02:00,2022-09-20 22:08:56,2022-09-21 06:35:04,84,13.3,469,506,206,104,159,37,559,69,92,73,false
2022-09-19 22:48:18,2022-09-20 22:08:56,UTC+02:00,2022-09-19 22:48:18,2022-09-20 06:35:30,70,13.5,436,465,164,85,187,29,625,116,94,72,false
2022-09-19 01:36:01,2022-09-19 22:48:18,UTC+02:00,2022-09-19 01:36:01,2022-09-19 07:00:56,50,13.3,292,324,146,61,85,32,580,65,90,69,false
2022-09-17 23:01:12,2022-09-19 01:36:01,UTC+02:00,2022-09-17 23:01:12,2022-09-18 06:38:47,72,13.4,417,458,215,87,115,41,578,95,91,67,false
2022-09-17 01:54:12,2022-09-17 23:01:12,UTC+02:00,2022-09-17 01:54:12,2022-09-17 07:52:46,59,14.4,326,359,169,72,85,33,555,46,92,48,false
2022-09-15 21:58:45,2022-09-17 01:54:12,UTC+02:00,2022-09-15 21:58:45,2022-09-16 06:29:13,80,14.1,468,507,251,86,131,39,581,62,92,88,false
2022-09-14 23:09:24,2022-09-15 21:58:45,UTC+02:00,2022-09-14 23:09:24,2022-09-15 06:29:41,73,13.7,392,440,155,85,152,48,535,26,88,77,false
