Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-10-04 22:22:45,2022-10-05 23:47:53,UTC+02:00,87,47,97,34.20,95.53,11.0,2261,155,67,2022-10-04 22:22:45,2022-10-05 06:28:52,87,14.0,442,486,247,64,131,44,510,32,90,80
2022-10-03 22:40:30,2022-10-04 22:22:45,UTC+02:00,83,47,93,34.30,94.90,9.5,2042,152,65,2022-10-03 22:40:30,2022-10-04 06:31:03,89,14.5,424,469,222,68,134,45,479,0,92,78
2022-10-02 21:58:09,2022-10-03 22:40:30,UTC+02:00,67,50,87,34.89,96.69,10.4,2172,151,67,2022-10-02 21:58:09,2022-10-03 07:02:54,100,15.5,493,545,253,76,164,52,471,0,90,71
2022-10-01 20:01:29,2022-10-02 21:58:09,UTC+02:00,9,70,54,36.44,96.09,6.7,1986,169,72,2022-10-01 20:01:29,2022-10-02 08:13:50,100,17.4,637,732,489,77,71,95,560,65,87,54
2022-09-30 23:20:16,2022-10-01 20:01:29,UTC+02:00,54,49,72,34.40,97.00,13.6,2285,160,73,2022-09-30 23:20:16,2022-10-01 06:59:46,78,13.5,437,459,213,81,143,22,559,50,95,78
2022-09-29 22:39:22,2022-09-30 23:20:16,UTC+02:00,79,46,87,33.72,95.93,15.8,3014,157,70,2022-09-29 22:39:22,2022-09-30 06:41:28,83,13.5,455,480,199,87,169,25,551,68,94,77
2022-09-28 22:04:43,2022-09-29 22:39:22,UTC+02:00,64,45,78,33.50,95.24,11.2,2260,155,60,2022-09-28 22:04:43,2022-09-29 06:33:27,77,13.1,477,507,216,110,151,30,620,90,95,66
2022-09-28 01:31:16,2022-09-28 22:04:43,UTC+02:00,1,64,40,34.83,94.81,18.7,3037,178,77,2022-09-28 01:31:16,2022-09-28 07:58:40,61,14.9,351,387,220,62,69,36,579,58,92,56
2022-09-26 22:28:33,2022-09-28 01:31:16,UTC+02:00,58,45,78,33.70,96.56,17.6,3641,171,75,2022-09-26 22:28:33,2022-09-27 06:06:37,75,13.4,409,443,181,94,134,34,545,65,93,89
2022-09-25 23:02:09,2022-09-26 22:28:33,UTC+02:00,66,45,81,33.80,96.00,10.2,2096,145,62,2022-09-25 23:02:09,2022-09-26 06:47:26,78,13.2,442,465,294,46,102,23,568,59,95,84
