Cycle start time,Cycle end time,Sleep onset,Wake onset,Respiratory rate (rpm),Asleep duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep debt (min)
2022-09-14 23:09:24,2022-09-15 21:58:45,2022-09-14 23:09:24,2022-09-15 06:29:41,13.7,392,155,85,152,48,26
2022-09-13 22:07:48,2022-09-14 23:09:24,2022-09-13 22:07:48,2022-09-14 06:05:35,13.9,432,241,47,144,44,0
2022-09-12 20:59:30,2022-09-13 22:07:48,2022-09-12 20:59:30,2022-09-13 06:21:52,15.1,508,263,90,155,54,0
2022-09-11 21:29:11,2022-09-12 20:59:30,2022-09-11 21:29:11,2022-09-12 06:45:18,15.9,492,194,129,169,64,23
2022-09-10 21:03:11,2022-09-11 21:29:11,2022-09-10 21:03:11,2022-09-11 06:36:36,15.5,511,313,83,115,62,74
2022-09-09 22:55:08,2022-09-10 21:03:11,2022-09-09 22:55:08,2022-09-10 07:02:03,13.8,447,244,90,113,39,92
2022-09-08 22:20:58,2022-09-09 22:55:08,2022-09-08 22:20:58,2022-09-09 06:01:26,13.1,402,173,91,138,56,74
2022-09-07 22:55:03,2022-09-08 22:20:58,2022-09-07 22:55:03,2022-09-08 06:30:35,13.4,397,212,79,106,58,74
2022-09-06 22:24:14,2022-09-07 22:55:03,2022-09-06 22:24:14,2022-09-07 05:54:37,13.0,421,198,69,154,29,72
2022-09-05 22:43:25,2022-09-06 22:24:14,2022-09-05 22:43:25,2022-09-06 06:31:35,13.2,418,177,75,166,50,95
2022-09-04 23:18:28,2022-09-05 22:43:25,2022-09-04 23:18:28,2022-09-05 06:29:37,12.6,403,154,94,155,28,172
2022-09-03 23:07:23,2022-09-04 23:18:28,2022-09-03 23:07:23,2022-09-04 01:46:00,12.5,151,98,32,21,7,74
2022-09-02 23:12:09,2022-09-03 23:07:23,2022-09-02 23:12:09,2022-09-03 05:58:18,13.2,358,174,73,111,48,50
2022-09-01 22:41:48,2022-09-02 23:12:09,2022-09-01 22:41:48,2022-09-02 06:31:24,13.2,436,221,88,127,33,44
2022-08-31 21:40:43,2022-09-01 22:41:48,2022-08-31 21:40:43,2022-09-01 06:28:45,13.4,471,267,89,115,57,67
2022-08-30 22:52:46,2022-08-31 21:40:43,2022-08-30 22:52:46,2022-08-31 06:11:08,13.1,374,168,83,123,63,53
2022-08-29 21:28:37,2022-08-30 22:52:46,2022-08-29 21:28:37,2022-08-30 05:03:19,13.2,425,232,74,119,27,47
2022-08-28 21:10:19,2022-08-29 21:28:37,2022-08-28 21:10:19,2022-08-29 06:12:01,13.3,476,223,84,169,66,56
2022-08-27 23:21:01,2022-08-28 21:10:19,2022-08-27 23:21:01,2022-08-28 07:29:50,13.1,440,287,66,87,49,60
2022-08-26 23:06:04,2022-08-27 23:21:01,2022-08-26 23:06:04,2022-08-27 06:36:56,13.4,379,176,76,127,69,29
2022-08-25 21:51:35,2022-08-26 23:06:04,2022-08-25 21:51:35,2022-08-26 06:29:44,13.1,479,147,117,215,39,38
2022-08-24 22:09:48,2022-08-25 21:51:35,2022-08-24 22:09:48,2022-08-25 06:45:04,13.4,470,254,84,132,45,53
2022-08-23 22:47:44,2022-08-24 22:09:48,2022-08-23 22:47:44,2022-08-24 06:59:55,13.2,458,198,92,168,34,68
2022-08-22 22:05:24,2022-08-23 22:47:44,2022-08-22 22:05:24,2022-08-23 05:22:48,13.5,391,148,98,145,46,38
2022-08-21 22:35:09,2022-08-22 22:05:24,2022-08-21 22:35:09,2022-08-22 07:01:19,13.5,470,228,100,142,34,67
2022-08-20 23:57:53,2022-08-21 22:35:09,2022-08-20 23:57:53,2022-08-21 08:05:16,14.9,443,121,115,207,44,79
2022-08-19 21:38:56,2022-08-20 23:57:53,2022-08-19 21:38:56,2022-08-20 04:29:05,13.3,379,138,98,143,31,97
2022-08-18 22:46:10,2022-08-19 21:38:56,2022-08-18 22:46:10,2022-08-19 04:59:39,13.5,340,132,73,135,33,76
2022-08-17 23:03:55,2022-08-18 22:46:10,2022-08-17 23:03:55,2022-08-18 05:44:47,13.2,377,154,79,144,24,69
2022-08-16 23:50:00,2022-08-17 23:03:55,2022-08-16 23:50:00,2022-08-17 07:00:12,13.6,389,147,80,162,41,58
2022-08-15 23:14:53,2022-08-16 23:50:00,2022-08-15 23:14:53,2022-08-16 06:44:17,13.4,422,199,77,146,25,65
2022-08-14 22:53:40,2022-08-15 23:14:53,2022-08-14 22:53:40,2022-08-15 06:08:40,13.2,401,160,98,143,31,90
2022-08-14 01:32:15,2022-08-14 22:53:40,2022-08-14 01:32:15,2022-08-14 08:02:32,13.7,360,158,74,128,30,72
2022-08-13 01:34:08,2022-08-14 01:32:15,2022-08-13 01:34:08,2022-08-13 08:13:36,13.7,342,118,93,131,57,14
2022-08-11 21:03:58,2022-08-13 01:34:08,2022-08-11 21:03:58,2022-08-12 06:18:10,13.5,510,231,99,180,40,8
2022-08-10 22:02:33,2022-08-11 21:03:58,2022-08-10 22:02:33,2022-08-11 06:57:03,13.5,497,245,84,168,37,2
2022-08-09 21:56:16,2022-08-10 22:02:33,2022-08-09 21:56:16,2022-08-10 06:40:40,13.5,462,190,103,169,62,44
2022-08-08 22:39:54,2022-08-09 21:56:16,2022-08-08 22:39:54,2022-08-09 07:00:16,13.1,471,258,98,115,29,69
2022-08-07 22:08:37,2022-08-08 22:39:54,2022-08-07 22:08:37,2022-08-08 06:13:07,13.6,428,232,67,129,53,90
2022-08-07 01:51:07,2022-08-07 22:08:37,2022-08-07 01:51:07,2022-08-07 08:03:38,13.2,342,123,84,135,28,47
2022-08-05 22:22:11,2022-08-07 01:51:07,2022-08-05 22:22:11,2022-08-06 06:38:42,13.2,453,189,107,157,42,68
2022-08-04 22:13:57,2022-08-05 22:22:11,2022-08-04 22:13:57,2022-08-05 06:00:11,13.5,430,147,101,182,36,59
2022-08-03 22:23:03,2022-08-04 22:13:57,2022-08-03 22:23:03,2022-08-04 06:16:29,13.5,434,191,101,142,39,74
2022-08-02 22:05:42,2022-08-03 22:23:03,2022-08-02 22:05:42,2022-08-03 06:20:47,13.6,439,185,116,138,56,72
2022-08-01 22:30:09,2022-08-02 22:05:42,2022-08-01 22:30:09,2022-08-02 06:22:10,13.4,409,202,90,117,62,86
2022-07-31 22:40:42,2022-08-01 22:30:09,2022-07-31 22:40:42,2022-08-01 05:54:44,13.4,419,243,72,104,15,86
2022-07-30 23:56:07,2022-07-31 22:40:42,2022-07-30 23:56:07,2022-07-31 07:32:44,13.6,420,256,53,111,34,83
2022-07-30 00:02:19,2022-07-30 23:56:07,2022-07-30 00:02:19,2022-07-30 07:18:45,13.7,403,163,91,149,33,86
2022-07-28 23:01:14,2022-07-30 00:02:19,2022-07-28 23:01:14,2022-07-29 06:16:13,13.5,401,227,73,101,32,53
2022-07-27 21:41:53,2022-07-28 23:01:14,2022-07-27 21:41:53,2022-07-28 06:14:44,13.5,472,211,94,167,41,76
2022-07-26 23:20:51,2022-07-27 21:41:53,2022-07-26 23:20:51,2022-07-27 06:13:46,13.4,393,213,58,122,20,65
2022-07-25 22:24:32,2022-07-26 23:20:51,2022-07-25 22:24:32,2022-07-26 06:16:03,13.4,439,227,82,130,31,86
2022-07-25 00:08:13,2022-07-25 22:24:32,2022-07-25 00:08:13,2022-07-25 06:21:12,13.7,337,149,69,119,36,146
2022-07-24 03:44:26,2022-07-25 00:08:13,2022-07-24 03:44:26,2022-07-24 07:32:16,13.9,206,124,48,34,21,65
2022-07-22 23:27:15,2022-07-24 03:44:26,2022-07-22 23:27:15,2022-07-23 07:59:38,13.8,479,210,130,139,33,81
2022-07-21 23:08:56,2022-07-22 23:27:15,2022-07-21 23:08:56,2022-07-22 06:02:46,13.5,376,206,75,95,38,63
