Cycle start time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain
2022-07-13 22:00:52,55.0,51.0,67.0,13.6
2022-07-12 22:48:54,63.0,48.0,70.0,20.1
2022-07-11 22:49:47,57.0,48.0,68.0,17.6
2022-07-10 22:08:24,64.0,44.0,69.0,16.1
2022-07-09 23:05:13,80.0,45.0,76.0,7.2
2022-07-08 22:56:28,48.0,46.0,67.0,14.4
2022-07-07 22:21:50,88.0,43.0,81.0,5.4
2022-07-06 22:47:42,61.0,47.0,70.0,8.6
2022-07-05 22:28:26,52.0,50.0,68.0,12.3
2022-07-04 22:42:20,56.0,48.0,70.0,19.2
2022-07-03 22:17:18,84.0,48.0,81.0,14.1
2022-07-02 22:49:20,85.0,46.0,80.0,17.3
2022-07-01 22:02:52,95.0,47.0,85.0,15.9
2022-06-30 21:43:08,56.0,47.0,71.0,11.3
2022-06-29 22:10:29,52.0,48.0,71.0,6.9
2022-06-28 22:27:45,47.0,49.0,69.0,13.4
2022-06-27 20:25:51,55.0,48.0,74.0,18.4
2022-06-26 21:23:09,61.0,46.0,78.0,17.2
2022-06-25 21:58:44,83.0,44.0,83.0,17.0
2022-06-24 22:50:45,68.0,46.0,80.0,7.7
2022-06-23 21:56:08,55.0,47.0,82.0,7.8
2022-06-22 22:18:35,75.0,47.0,81.0,11.7
2022-06-21 21:46:00,74.0,48.0,80.0,17.1
2022-06-20 21:31:14,91.0,47.0,85.0,17.2
2022-06-19 21:45:21,92.0,45.0,84.0,15.6
2022-06-18 22:27:56,94.0,46.0,85.0,11.3
2022-06-17 23:21:42,82.0,49.0,78.0,13.2
2022-06-16 22:13:12,80.0,48.0,76.0,13.8
2022-06-15 22:24:50,49.0,49.0,67.0,8.7
2022-06-14 23:04:20,67.0,48.0,71.0,18.0
2022-06-13 22:34:26,80.0,47.0,75.0,8.2
2022-06-12 22:49:17,60.0,49.0,71.0,5.2
2022-06-11 23:37:19,81.0,46.0,79.0,9.2
2022-06-11 01:59:21,49.0,49.0,68.0,11.2
2022-06-09 23:19:16,52.0,49.0,68.0,17.3
2022-06-08 22:59:31,50.0,48.0,67.0,18.1
2022-06-07 22:03:42,77.0,49.0,79.0,5.2
2022-06-06 21:45:36,75.0,50.0,78.0,14.5
2022-06-05 22:13:28,94.0,49.0,92.0,9.8
2022-06-04 21:58:21,61.0,57.0,75.0,9.1
2022-06-03 23:29:10,74.0,49.0,77.0,20.7
2022-06-02 21:57:48,86.0,48.0,84.0,10.6
2022-06-01 22:45:30,90.0,50.0,85.0,12.0
2022-06-01 02:35:10,41.0,54.0,62.0,12.9
2022-05-30 22:29:17,80.0,49.0,77.0,19.3
2022-05-29 21:41:00,82.0,48.0,76.0,10.4
2022-05-28 23:46:03,92.0,48.0,81.0,8.9
2022-05-27 22:41:14,39.0,51.0,55.0,6.6
2022-05-26 21:56:51,72.0,51.0,71.0,12.1
2022-05-25 22:05:01,59.0,50.0,68.0,11.5
2022-05-24 22:36:19,92.0,46.0,81.0,18.0
2022-05-23 22:03:58,86.0,47.0,77.0,15.5
2022-05-22 21:53:09,56.0,49.0,66.0,12.4
2022-05-21 22:01:06,44.0,50.0,60.0,15.3
2022-05-20 22:27:07,81.0,47.0,76.0,19.4
2022-05-19 22:59:06,49.0,49.0,66.0,5.9
2022-05-18 22:07:56,71.0,49.0,73.0,14.2
2022-05-17 21:36:19,83.0,49.0,72.0,12.4
2022-05-16 21:49:36,88.0,46.0,78.0,18.7
2022-05-15 23:37:51,59.0,46.0,75.0,14.4
2022-05-14 21:47:16,87.0,49.0,76.0,12.0
2022-05-13 21:51:28,91.0,46.0,76.0,18.1
2022-05-12 20:31:37,85.0,49.0,72.0,9.7
2022-05-11 20:20:05,26.0,57.0,55.0,10.9
2022-05-10 21:32:30,49.0,49.0,60.0,11.4
2022-05-09 22:28:52,38.0,52.0,58.0,14.9
2022-05-08 22:58:52,56.0,46.0,67.0,20.2
2022-05-08 03:23:33,48.0,47.0,67.0,7.8
2022-05-06 23:01:26,48.0,48.0,65.0,13.8
2022-05-05 21:29:58,60.0,51.0,73.0,16.9
2022-05-04 22:19:57,54.0,49.0,71.0,14.4
2022-05-03 22:13:30,88.0,46.0,80.0,17.3
2022-05-02 22:56:03,65.0,48.0,75.0,15.9
2022-05-01 21:55:35,80.0,46.0,79.0,17.5
2022-04-30 22:10:30,86.0,46.0,80.0,18.5
2022-04-30 00:19:54,75.0,48.0,77.0,7.9
2022-04-28 22:12:01,75.0,47.0,75.0,18.9
2022-04-27 22:23:30,85.0,46.0,77.0,14.8
2022-04-26 22:30:41,92.0,47.0,83.0,11.9
2022-04-25 22:34:06,60.0,48.0,68.0,17.6
2022-04-24 22:13:40,74.0,47.0,71.0,18.4
2022-04-23 23:09:25,68.0,49.0,68.0,11.7
2022-04-22 22:29:52,77.0,46.0,72.0,18.7
2022-04-21 23:06:03,66.0,52.0,71.0,7.4
2022-04-20 23:08:25,62.0,48.0,65.0,20.1
2022-04-19 22:47:45,39.0,51.0,57.0,12.9
2022-04-18 21:59:43,27.0,53.0,51.0,16.2
2022-04-17 22:09:46,51.0,47.0,66.0,17.6
2022-04-17 00:42:05,46.0,47.0,65.0,12.3
2022-04-15 22:31:31,47.0,49.0,67.0,8.3
2022-04-14 22:48:58,87.0,47.0,80.0,15.8
2022-04-13 22:31:19,89.0,47.0,80.0,14.2
2022-04-12 21:57:50,72.0,48.0,73.0,13.8
2022-04-11 22:31:16,70.0,48.0,73.0,14.4
2022-04-10 22:26:16,82.0,47.0,77.0,15.4
2022-04-09 22:54:33,53.0,49.0,68.0,17.8
2022-04-08 22:53:42,72.0,48.0,75.0,17.4
2022-04-07 21:53:09,57.0,47.0,71.0,16.3
2022-04-06 22:07:26,50.0,52.0,70.0,8.2
2022-04-05 22:22:37,46.0,47.0,67.0,18.7
2022-04-04 22:24:39,80.0,45.0,81.0,13.1
2022-04-03 21:56:21,80.0,44.0,79.0,17.8
2022-04-02 23:33:53,69.0,46.0,73.0,10.4
2022-04-01 22:18:10,88.0,47.0,82.0,14.2
2022-03-31 22:36:47,77.0,49.0,77.0,16.6
2022-03-30 22:33:15,70.0,47.0,73.0,17.9
2022-03-29 23:03:14,51.0,50.0,68.0,18.3
