Cycle start time,Activity Strain,Average HR (bpm),Max HR (bpm)
2022-04-24 22:13:40,12.5,158,188
2022-04-24 22:13:40,15.2,149,175
2022-04-23 23:09:25,6.0,94,148
2022-04-22 22:29:52,17.7,156,172
2022-04-20 23:08:25,18.1,155,183
2022-04-19 22:47:45,5.2,94,141
2022-04-19 22:47:45,10.1,143,161
2022-04-18 21:59:43,12.4,116,171
2022-04-18 21:59:43,4.7,86,118
2022-04-17 22:09:46,17.0,150,164
2022-04-17 00:42:05,6.3,100,148
2022-04-17 00:42:05,5.0,115,130
2022-04-14 22:48:58,5.2,93,142
2022-04-13 22:31:19,11.9,121,170
2022-04-12 21:57:50,10.0,131,194
2022-04-10 22:26:16,11.8,121,168
2022-04-09 22:54:33,16.9,143,172
2022-04-08 22:53:42,12.9,137,176
2022-04-07 21:53:09,11.2,137,158
2022-04-07 21:53:09,6.0,98,148
2022-04-07 21:53:09,5.4,147,167
2022-04-07 21:53:09,5.2,118,143
2022-04-05 22:22:37,11.9,155,173
2022-04-05 22:22:37,12.7,143,194
2022-04-05 22:22:37,12.2,126,164
2022-04-04 22:24:39,5.0,90,145
2022-04-04 22:24:39,4.9,113,134
2022-04-03 21:56:21,12.5,131,170
2022-04-03 21:56:21,6.6,95,154
2022-04-03 21:56:21,12.8,156,172
2022-03-31 22:36:47,15.5,144,158
2022-03-30 22:33:15,15.8,148,176
2022-03-29 23:03:14,13.3,147,160
2022-03-28 22:11:13,10.9,120,159
2022-03-27 22:51:16,6.2,100,157
2022-03-27 22:51:16,9.0,131,169
2022-03-27 22:51:16,15.4,159,174
2022-03-27 00:01:43,15.9,165,180
2022-03-23 22:17:19,4.7,83,136
2022-03-23 22:17:19,9.5,135,151
2022-03-22 22:55:11,9.7,119,168
2022-03-22 22:55:11,13.2,132,155
2022-03-21 22:22:51,12.6,165,184
2022-03-21 22:22:51,4.7,84,143
2022-03-20 21:28:16,5.9,95,128
2022-03-20 21:28:16,11.9,161,181
2022-03-19 23:18:26,15.1,151,168
2022-03-18 22:37:28,19.9,151,165
2022-03-17 21:56:15,5.2,91,152
2022-03-17 21:56:15,10.8,146,163
2022-03-14 21:17:44,19.0,152,174
2022-03-11 21:43:15,8.8,139,160
2022-03-11 21:43:15,18.3,156,169
2022-03-09 21:55:28,5.0,91,148
2022-03-09 21:55:28,13.0,157,171
2022-03-08 21:55:02,16.5,159,178
2022-03-07 21:46:17,4.7,86,132
