Cycle start time,Activity Strain,Average HR (bpm),Max HR (bpm)
2021-03-21 21:00:20,14.3,176,188
2021-03-18 22:38:26,8.4,105,156
2021-03-18 22:38:26,4.6,130,144
2021-03-18 22:38:26,13.0,165,182
2021-03-17 22:06:15,8.7,120,160
2021-03-16 22:32:50,7.3,109,155
2021-03-15 23:31:36,6.7,109,140
2021-03-15 23:31:36,13.2,156,177
2021-03-14 22:31:40,6.1,106,140
2021-03-14 22:31:40,10.5,165,186
2021-03-11 22:33:47,13.8,176,188
2021-03-11 22:33:47,10.3,150,169
2021-03-10 21:46:30,6.1,110,145
2021-03-10 00:15:49,6.5,107,139
2021-03-07 23:34:00,7.4,112,137
2021-03-07 23:34:00,14.7,168,191
2021-03-05 23:19:13,9.1,117,152
2021-03-04 22:01:58,8.7,110,166
2021-03-04 22:01:58,6.1,140,159
2021-03-03 22:48:30,5.6,99,148
2021-03-03 22:48:30,12.9,146,171
2021-03-01 20:39:58,14.9,167,185
2021-02-28 21:01:55,7.9,162,181
2021-02-28 21:01:55,5.8,99,125
2021-02-27 23:33:27,7.0,117,150
2021-02-25 22:41:36,13.0,166,183
2021-02-25 22:41:36,13.3,154,170
2021-02-24 22:01:10,12.0,125,158
2021-02-23 22:04:38,11.9,163,187
2021-02-23 22:04:38,4.9,110,134
2021-02-23 22:04:38,14.9,168,186
2021-02-21 23:33:02,11.3,156,187
2021-02-21 23:33:02,5.6,110,147
2021-02-21 23:33:02,12.6,163,183
2021-02-18 20:56:11,5.3,98,135
2021-02-18 20:56:11,13.3,170,192
2021-02-16 21:24:01,6.0,109,144
2021-02-15 21:31:52,5.2,111,139
2021-02-15 21:31:52,12.6,161,183
2021-02-14 23:40:12,5.2,100,126
2021-02-14 23:40:12,11.8,149,170
2021-02-11 21:42:09,15.6,166,182
2021-02-11 21:42:09,7.0,134,153
2021-02-10 23:10:21,13.4,162,177
2021-02-09 22:31:59,6.0,113,143
2021-02-09 22:31:59,12.8,166,183
2021-02-08 22:52:12,5.5,104,136
2021-02-08 22:52:12,12.5,161,187
2021-02-04 22:24:36,12.5,163,180
2021-02-04 22:24:36,9.2,146,166
2021-02-03 21:18:52,5.7,97,128
2021-02-03 00:28:20,6.1,128,152
2021-02-03 00:28:20,12.8,166,181
2021-02-03 00:28:20,14.5,161,173
2021-01-31 22:22:15,5.5,108,131
2021-01-31 22:22:15,12.7,162,179
2021-01-30 01:14:12,7.3,123,154
2021-01-27 21:19:26,5.8,101,132
2021-01-27 21:19:26,9.3,138,160
2021-01-26 22:32:35,11.0,145,174
2021-01-26 22:32:35,12.2,160,177
2021-01-25 22:29:28,8.4,129,166
2021-01-25 22:29:28,6.9,110,162
2021-01-24 22:33:26,6.3,107,146
2021-01-24 22:33:26,12.1,165,185
2021-01-21 22:59:22,17.5,172,193
2021-01-19 22:44:53,6.5,116,155
2021-01-19 22:44:53,7.3,115,154
2021-01-18 22:47:51,8.1,117,147
2021-01-18 22:47:51,12.0,168,185
2021-01-17 22:57:31,8.9,115,177
2021-01-17 22:57:31,10.9,141,173
2021-01-16 03:25:28,10.0,137,162
2021-01-12 22:44:28,8.5,130,159
2021-01-10 23:49:07,4.3,125,159
2021-01-10 23:49:07,13.3,154,185
2021-01-06 23:43:21,13.8,142,178
