Cycle start time,Cycle end time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-10-06 22:21:54,2022-10-07 23:14:50,86.0,47.0,102.0,15.1,2883.0,174.0,69.0,2022-10-06 22:21:54,2022-10-07 06:14:23,74.0,14.2,418.0,472.0,194.0,78.0,146.0,54.0,565.0,83.0,89.0,84.0
2022-10-05 23:47:53,2022-10-06 22:21:54,33.0,52.0,77.0,10.9,2077.0,151.0,70.0,2022-10-05 23:47:53,2022-10-06 05:54:37,64.0,15.4,331.0,366.0,269.0,32.0,30.0,35.0,520.0,38.0,90.0,74.0
2022-10-04 22:22:45,2022-10-05 23:47:53,87.0,47.0,97.0,11.0,2261.0,155.0,67.0,2022-10-04 22:22:45,2022-10-05 06:28:52,87.0,14.0,442.0,486.0,247.0,64.0,131.0,44.0,510.0,32.0,90.0,80.0
2022-10-03 22:40:30,2022-10-04 22:22:45,83.0,47.0,93.0,9.5,2042.0,152.0,65.0,2022-10-03 22:40:30,2022-10-04 06:31:03,89.0,14.5,424.0,469.0,222.0,68.0,134.0,45.0,479.0,0.0,92.0,78.0
2022-10-02 21:58:09,2022-10-03 22:40:30,67.0,50.0,87.0,10.4,2172.0,151.0,67.0,2022-10-02 21:58:09,2022-10-03 07:02:54,100.0,15.5,493.0,545.0,253.0,76.0,164.0,52.0,471.0,0.0,90.0,71.0
2022-10-01 20:01:29,2022-10-02 21:58:09,9.0,70.0,54.0,6.7,1986.0,169.0,72.0,2022-10-01 20:01:29,2022-10-02 08:13:50,100.0,17.4,637.0,732.0,489.0,77.0,71.0,95.0,560.0,65.0,87.0,54.0
2022-09-30 23:20:16,2022-10-01 20:01:29,54.0,49.0,72.0,13.6,2285.0,160.0,73.0,2022-09-30 23:20:16,2022-10-01 06:59:46,78.0,13.5,437.0,459.0,213.0,81.0,143.0,22.0,559.0,50.0,95.0,78.0
2022-09-29 22:39:22,2022-09-30 23:20:16,79.0,46.0,87.0,15.8,3014.0,157.0,70.0,2022-09-29 22:39:22,2022-09-30 06:41:28,83.0,13.5,455.0,480.0,199.0,87.0,169.0,25.0,551.0,68.0,94.0,77.0
2022-09-28 22:04:43,2022-09-29 22:39:22,64.0,45.0,78.0,11.2,2260.0,155.0,60.0,2022-09-28 22:04:43,2022-09-29 06:33:27,77.0,13.1,477.0,507.0,216.0,110.0,151.0,30.0,620.0,90.0,95.0,66.0
2022-09-28 01:31:16,2022-09-28 22:04:43,1.0,64.0,40.0,18.7,3037.0,178.0,77.0,2022-09-28 01:31:16,2022-09-28 07:58:40,61.0,14.9,351.0,387.0,220.0,62.0,69.0,36.0,579.0,58.0,92.0,56.0
